Year,PreSeason(1) | RegSeason(2),Week,Home,Away,Score (Home),Score (Away),Passing YDS (Home),Passing YDS (Away),Rushing YDS (Home),Rushing YDS (Away),Receiving YDS (Home),Receiving YDS (Away),Total YDS (Home),Total YDS (Away)
2020,2,4,Jets,Broncos,28,37,192,242,129,117,246,242,567,601
2020,2,4,Bengals,Jaguars,33,25,300,340,205,89,300,351,805,780
2020,2,4,Cowboys,Browns,38,49,481,37,85,307,502,202,1068,546
2020,2,4,Lions,Saints,29,35,191,228,90,164,206,246,487,638
2020,2,4,Dolphins,Seahawks,23,31,312,343,103,98,315,360,730,801
2020,2,4,Buccaneers,Chargers,38,31,369,278,115,46,369,290,853,614
2020,2,4,Washington,Ravens,17,31,274,15,69,144,314,208,657,367
2020,2,4,Panthers,Cardinals,31,21,276,133,168,129,276,133,720,395
2020,2,4,Texans,Vikings,23,31,290,248,96,162,300,260,686,670
2020,2,4,Rams,Giants,17,9,182,159,58,136,200,190,440,485
2020,2,4,Bears,Colts,11,19,241,186,28,103,249,190,518,479
2020,2,4,Raiders,Bills,23,30,297,274,86,63,311,288,694,625
2020,2,4,49ers,Eagles,20,25,301,174,116,93,338,193,755,460
2020,2,4,Chiefs,Patriots,26,10,229,60,94,185,236,190,559,435
2020,2,4,Packers,Falcons,30,16,315,249,88,78,327,285,730,612
2020,2,7,Eagles,Giants,22,21,346,165,96,160,359,187,801,512
2020,2,7,Falcons,Lions,22,23,322,322,66,64,338,340,726,726
2020,2,7,Bengals,Browns,34,37,387,19,81,82,422,316,890,417
2020,2,7,Titans,Steelers,24,27,210,268,82,94,220,268,512,630
2020,2,7,Saints,Panthers,27,24,277,246,138,37,287,254,702,537
2020,2,7,Jets,Bills,10,18,91,296,100,126,120,307,311,729
2020,2,7,Washington,Cowboys,25,3,189,39,208,83,194,114,591,236
2020,2,7,Texans,Packers,20,35,286,283,79,96,309,283,674,662
2020,2,7,Raiders,Buccaneers,20,45,271,369,76,85,284,369,631,823
2020,2,7,Broncos,Chiefs,16,43,234,13,177,101,254,213,665,327
2020,2,7,Patriots,49ers,6,33,147,270,94,197,162,277,403,744
2020,2,7,Chargers,Jaguars,39,29,349,154,135,140,351,173,835,467
2020,2,7,Cardinals,Seahawks,37,34,360,372,159,200,360,388,879,960
2020,2,7,Rams,Bears,24,10,211,230,160,49,220,261,591,540
